rowid;sy_snum;sy_pnum;disc_year;pl_ntranspec;st_nrvc;st_nspec;pl_nespec;st_nphot;ra;dec;glon;elon;glat;elat;st_mass;pl_radelim;pl_rade;pl_radj;pl_radjlim;sy_dist;pl_bmasse;pl_bmassj;pl_bmasselim;pl_bmassjlim;pl_denslim;pl_dens;sy_disterr2;sy_disterr1;pl_nnotes;sy_kmag;st_teff;st_tefflim;sy_vmag;sy_hmag;sy_tmag;sy_vmagerr1;sy_tmagerr1;sy_tmagerr2;sy_pmdec;sy_pm;sy_pmra;sy_vmagerr2;st_lum;sy_pmdecerr1;sy_pmerr1;sy_pmraerr1;sy_jmag;st_rad;sy_hmagerr2;sy_hmagerr1;st_logg;st_logglim;pl_orbper;pl_orbperlim;sy_pmraerr2;sy_pmdecerr2;sy_pmerr2;sy_kmagerr1;sy_jmagerr2;sy_jmagerr1;sy_kmagerr2;sy_gaiamag;sy_gaiamagerr2;sy_gaiamagerr1;st_masserr1;pl_orbsmaxlim;pl_orbsmax;st_masserr2;sy_plxerr2;sy_plx;sy_plxerr1;sy_bmag;sy_bmagerr1;sy_bmagerr2;st_tefferr1;st_raderr1;st_tefferr2;st_raderr2;st_loggerr1;st_loggerr2;st_met;st_metlim;sy_w2mag;sy_w3mag;sy_w4mag;sy_w1mag;st_dens;sy_w2magerr1;sy_w1magerr1;st_denserr1;st_denserr2;pl_orbpererr1;pl_orbpererr2;st_meterr2;st_meterr1;pl_orbeccenlim;pl_orbeccen;sy_w2magerr2;sy_w1magerr2
1;2;1;2007;0;2;0;0;1;185,178779;17,793252;264,137750;177,421770;78,280580;18,333920;2,700000;0,000000;12,100000;1,080000;0,000000;93,184600;6165,600000;19,400000;0,000000;0,000000;0,000000;19,100000;-1,923800;1,923800;2,000000;2,282000;4742,000000;0,000000;4,723070;2,484000;3,837900;0,023000;0,007100;-0,007100;88,170100;140,383627;-109,241000;-0,023000;2,243000;0,277297;0,301395;0,316107;2,943000;19,000000;-0,268000;0,268000;2,310000;0,000000;326,030000;0,000000;-0,316107;-0,277297;-0,301395;0,346000;-0,334000;0,334000;-0,346000;4,440380;-0,003848;0,003848;0,300000;0,000000;1,290000;-0,300000;-0,219739;10,710400;0,219739;5,726000;0,017000;-0,017000;100,000000;2,000000;-100,000000;-2,000000;0,100000;-0,100000;-0,350000;0,000000;0,732000;2,358000;2,270000;0,639000;nan;nan;nan;nan;nan;0,320000;-0,320000;-0,090000;0,090000;0,000000;0,231000;nan;nan
2;1;1;2009;0;1;0;0;1;229,274595;71,823943;108,719000;141,646990;41,044370;74,958210;2,780000;0,000000;12,300000;1,090000;0,000000;125,321000;4684,814200;14,740000;0,000000;0,000000;0,000000;13,800000;-1,976500;1,976500;0,000000;1,939000;4213,000000;0,000000;5,013000;2,091000;3,822940;0,005000;0,007500;-0,007500;10,113200;10,679019;3,429960;-0,005000;2,430000;0,217259;0,218806;0,231822;2,876000;29,790000;-0,194000;0,194000;1,930000;0,000000;516,219970;0,000000;-0,231822;-0,217259;-0,218806;0,270000;-0,230000;0,230000;-0,270000;4,562160;-0,003903;0,003903;0,690000;0,000000;1,530000;-0,690000;-0,124857;7,953880;0,124857;6,382000;0,045000;-0,045000;46,000000;2,840000;-46,000000;-2,840000;0,070000;-0,070000;-0,020000;0,000000;0,143000;1,894000;1,787000;-0,290000;nan;nan;nan;nan;nan;3,200000;-3,200000;nan;nan;0,000000;0,080000;nan;nan
3;1;1;2008;0;1;0;0;1;352,824150;39,235837;106,412690;11,963220;-21,051410;38,229010;2,200000;0,000000;12,900000;1,150000;0,000000;75,439200;1525,500000;4,800000;0,000000;0,000000;0,000000;3,900000;-0,714000;0,714000;0,000000;2,331000;4813,000000;0,000000;5,231330;2,608000;4,321400;0,023000;0,007300;-0,007300;-83,758200;299,252618;287,292000;-0,023000;1,763000;0,141256;0,182684;0,185780;3,019000;11,000000;-0,184000;0,184000;2,630000;0,000000;185,840000;0,000000;-0,185780;-0,141256;-0,182684;0,240000;-0,180000;0,180000;-0,240000;4,917810;-0,002826;0,002826;0,100000;0,000000;0,830000;-0,200000;-0,124501;13,228900;0,124501;6,256000;0,017000;-0,017000;20,000000;1,000000;-20,000000;-1,000000;0,070000;-0,070000;-0,240000;0,000000;2,545000;2,719000;2,719000;1,592000;nan;0,524000;nan;nan;nan;0,230000;-0,230000;-0,030000;0,030000;0,000000;0,000000;nan;nan
4;1;2;2002;0;4;1;0;1;242,602101;43,816362;69,168490;223,247170;46,944470;62,878850;0,910000;0,000000;12,600000;1,120000;0,000000;17,932300;2559,472160;8,053000;0,000000;0,000000;0,000000;7,030000;-0,007300;0,007300;0,000000;4,714000;5338,000000;0,000000;6,619350;4,803000;5,863100;0,023000;0,006000;-0,006000;-296,464000;324,530306;132,019000;-0,023000;-0,153000;0,043148;0,042417;0,038519;5,158000;0,930000;-0,016000;0,016000;4,450000;0,000000;1765,038900;0,000000;-0,038519;-0,043148;-0,042417;0,016000;-0,029000;0,029000;-0,016000;6,383000;-0,000351;0,000351;0,110000;0,000000;2,774000;-0,110000;-0,022596;55,736300;0,022596;7,495000;0,020000;-0,020000;25,000000;0,010000;-25,000000;-0,010000;0,020000;-0,020000;0,405000;0,000000;4,543000;4,721000;4,674000;4,676000;1,273930;0,086000;0,173000;0,349530;-0,307280;1,677090;-1,872560;-0,047000;0,047000;0,000000;0,373000;nan;nan
5;3;1;1996;0;4;3;0;1;295,465642;50,516824;83,335580;321,211760;13,204460;69,468030;1,080000;0,000000;13,500000;1,200000;0,000000;21,139700;565,737400;1,780000;0,000000;0,000000;0,000000;1,260000;-0,011100;0,011000;5,000000;4,651000;5750,000000;0,000000;6,215000;4,695000;5,628100;0,016000;0,006000;-0,006000;-162,493000;211,122213;-134,791000;-0,016000;0,097000;0,045017;0,046880;0,049463;4,993000;1,130000;-0,036000;0,036000;4,360000;0,000000;798,500000;0,000000;-0,049463;-0,045017;-0,046880;0,016000;-0,037000;0,037000;-0,016000;6,064280;-0,000603;0,000603;0,040000;0,000000;1,660000;-0,040000;-0,024532;47,275400;0,024532;6,876000;0,072498;-0,072498;8,000000;0,010000;-8,000000;-0,010000;0,010000;-0,010000;0,060000;0,000000;4,568000;4,926000;4,713000;4,773000;1,011030;0,106000;0,236000;0,292730;-0,200810;1,000000;-1,000000;nan;nan;0,000000;0,680000;-0,106000;-0,236000
6;1;1;2020;0;0;0;0;0;243,462087;-11,837791;1,302620;243,704490;27,343010;9,211810;1,220000;0,000000;12,900000;1,150000;0,000000;124,953000;1373,018720;4,320000;0,000000;0,000000;0,000000;3,510000;-2,590000;2,590000;nan;2,094000;4157,000000;0,000000;5,226060;2,266000;3,976550;0,023000;0,008000;-0,008000;-9,061760;10,668200;-5,629830;-0,023000;2,254000;0,289228;0,298263;0,320487;2,943000;25,920000;-0,228000;0,228000;1,700000;0,000000;578,380000;0,000000;-0,320487;-0,289228;-0,298263;0,244000;-0,270000;0,270000;-0,244000;4,754290;-0,005055;0,005055;0,130000;0,000000;1,450000;-0,140000;-0,164543;7,980500;0,164543;6,615000;0,015000;-0,015000;11,000000;0,780000;-10,000000;-0,740000;0,040000;-0,060000;-0,010000;0,000000;0,752000;2,058000;1,931000;0,122000;nan;nan;nan;nan;nan;2,010000;-2,090000;-0,100000;0,100000;0,000000;0,060000;nan;nan
7;2;1;2008;0;1;0;0;1;314,607838;10,839138;58,691210;320,590930;-21,974800;26,786780;2,300000;0,000000;12,500000;1,110000;0,000000;76,222000;3273,500000;10,300000;0,000000;0,000000;0,000000;9,210000;-0,621700;0,621700;2,000000;3,366000;4979,000000;0,000000;5,510480;3,440000;4,718100;0,023000;0,006700;-0,006700;-34,197600;60,603853;-50,033500;-0,023000;1,602000;0,174949;0,156677;0,147366;4,032000;8,500000;-0,186000;0,186000;2,820000;0,000000;993,300000;0,000000;-0,147366;-0,174949;-0,156677;0,204000;-0,236000;0,236000;-0,204000;5,274760;-0,002654;0,002654;nan;0,000000;2,600000;nan;-0,106193;13,092200;0,106193;6,430000;0,018000;-0,018000;18,000000;nan;-18,000000;nan;0,060000;-0,060000;-0,052000;0,000000;2,931000;3,355000;3,308000;3,370000;nan;0,416000;0,373000;nan;nan;3,200000;-3,200000;-0,023000;0,023000;0,000000;0,080000;-0,416000;-0,373000
8;1;1;2008;0;0;0;0;0;242,376234;-21,083140;352,890500;244,365670;22,030310;-0,068520;0,850000;0,000000;18,647000;1,664000;0,000000;139,135000;3000,000000;8,000000;0,000000;0,000000;0,000000;2,540000;-1,307000;1,332000;0,000000;8,916000;4060,000000;0,000000;12,618000;9,121000;11,194100;0,069000;0,007500;-0,007500;-23,204300;25,377170;-10,274300;-0,069000;-0,370000;0,083486;0,088795;0,112028;9,820000;1,310000;-0,023000;0,023000;4,000000;0,000000;nan;nan;-0,112028;-0,083486;-0,088795;0,021000;-0,027000;0,027000;-0,021000;12,057200;-0,002275;0,002275;0,200000;0,000000;330,000000;-0,100000;-0,067647;7,159490;0,067647;14,168000;0,049000;-0,049000;300,000000;0,180000;-200,000000;-0,100000;0,140000;-0,100000;nan;nan;8,790000;8,684000;8,531000;8,794000;0,387890;0,020000;0,022000;0,180190;-0,106970;nan;nan;nan;nan;nan;nan;-0,020000;-0,022000
9;1;1;2018;0;0;0;0;1;217,155524;49,844649;90,163730;185,923430;60,644700;58,887950;0,990000;0,000000;13,900000;1,240000;0,000000;95,986300;289,225300;0,910000;0,000000;0,000000;0,000000;0,592000;-0,636850;0,636850;0,000000;3,159000;4893,000000;0,000000;5,590000;3,340000;4,781200;0,001000;0,006400;-0,006400;-46,816100;307,646978;-304,064000;-0,001000;1,774000;0,109763;0,096549;0,096214;3,845000;10,640000;-0,190000;0,190000;2,420000;0,000000;30,350600;0,000000;-0,096214;-0,109763;-0,096549;0,280000;-0,240000;0,240000;-0,280000;5,333900;-0,002000;0,002000;0,190000;0,000000;0,190000;-0,130000;-0,068599;10,390000;0,068599;6,439000;0,031639;-0,031639;15,000000;0,840000;-15,000000;-0,590000;0,100000;-0,100000;-0,770000;0,000000;nan;nan;nan;nan;nan;nan;nan;nan;nan;0,007800;-0,007700;-0,030000;0,030000;0,000000;0,042000;nan;nan
10;1;2;2010;0;2;1;0;1;155,868487;-0,902400;245,085690;157,993910;44,715800;-10,198180;1,540000;0,000000;13,400000;1,190000;0,000000;72,069100;632,460000;1,990000;0,000000;0,000000;0,000000;1,440000;-0,672800;0,685400;0,000000;4,285000;5098,000000;0,000000;6,453500;4,486000;5,641600;0,023000;0,006000;-0,006000;-36,272100;74,627747;65,219900;-0,023000;1,164000;0,244089;0,187901;0,166731;5,292000;4,900000;-0,076000;0,076000;3,500000;0,000000;452,800000;0,000000;-0,166731;-0,244089;-0,187901;0,016000;-0,338000;0,338000;-0,016000;6,203740;-0,000498;0,000498;0,080000;0,000000;1,333000;-0,080000;-0,129756;13,848800;0,129756;7,399000;0,019000;-0,019000;44,000000;0,080000;-44,000000;-0,080000;0,100000;-0,100000;-0,030000;0,000000;3,598000;4,254000;4,201000;4,094000;nan;0,156000;0,327000;nan;nan;2,100000;-4,500000;-0,040000;0,040000;0,000000;0,090000;-0,156000;-0,327000
